Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,Delta,IV,Type,Time
"5,870.00",3.00%,222.8,231.85,240.9,0,unch,unch,0,0,unch,0.80578,13.81%,Call,N/A
"5,875.00",2.91%,218.4,227.3,236.2,0,unch,unch,0,0,unch,0.80199,13.68%,Call,N/A
"5,880.00",2.83%,214,223.05,232.1,0,unch,unch,0,0,unch,0.79715,13.62%,Call,N/A
"5,890.00",2.66%,205.3,214.3,223.3,0,unch,unch,0,0,unch,0.78812,13.43%,Call,N/A
"5,900.00",2.50%,200.1,207.25,214.4,220.42,220.42,unch,2,2,unch,0.77372,13.55%,Call,2012/12/24
"5,910.00",2.33%,191.9,198.8,205.7,0,unch,unch,0,0,unch,0.76342,13.38%,Call,N/A
"5,920.00",2.17%,183.3,190.2,197.1,0,unch,unch,0,0,unch,0.75325,13.17%,Call,N/A
"5,925.00",2.09%,179.1,185.95,192.8,200.2,unch,unch,0,3,unch,0.74791,13.07%,Call,2012/9/24
"5,930.00",2.00%,174.9,181.75,188.6,0,unch,unch,0,0,unch,0.74235,12.97%,Call,N/A
"5,940.00",1.84%,166.5,173.3,180.1,0,unch,unch,0,0,unch,0.73111,12.76%,Call,N/A
"5,950.00",1.67%,158.2,164.95,171.7,0,unch,unch,0,0,unch,0.71923,12.55%,Call,N/A
"5,960.00",1.51%,150.1,156.85,163.6,0,unch,unch,0,0,unch,0.70637,12.37%,Call,N/A
"5,970.00",1.34%,142,148.7,155.4,182.55,unch,unch,0,5,unch,0.69321,12.16%,Call,2012/6/24
"5,975.00",1.26%,138,144.65,151.3,156.16,unch,unch,0,1,unch,0.6864,12.05%,Call,2012/9/24
"5,980.00",1.18%,130.6,138.3,146,0,unch,unch,0,0,unch,0.68425,11.58%,Call,N/A
"5,990.00",1.01%,123,130.6,138.2,166,unch,unch,0,5,unch,0.66884,11.41%,Call,2012/6/24
"6,000.00",0.85%,115.5,123.05,130.6,138,138,unch,1,0,unch,0.65268,11.24%,Call,2012/12/24
"6,010.00",0.68%,107.7,115.85,124,0,unch,unch,0,0,unch,0.63545,11.11%,Call,N/A
"6,020.00",0.52%,100.6,108.55,116.5,0,unch,unch,0,0,unch,0.6179,10.93%,Call,N/A
"6,025.00",0.43%,97.1,104.95,112.8,116,116,unch,1,1,unch,0.60883,10.84%,Call,2012/12/24
"6,030.00",0.35%,93.6,101.4,109.2,0,unch,unch,0,0,unch,0.59956,10.76%,Call,N/A
"6,040.00",0.19%,86.9,94.5,102.1,106.37,unch,unch,0,22,unch,0.58035,10.59%,Call,2012/10/24
"6,050.00",0.02%,86.4,87.55,88.7,111.7,unch,unch,0,6,unch,0.56053,10.39%,Call,2012/11/24
"6,060.00",-0.14%,80.4,80.9,81.4,81.86,-25.14,-23.50%,40,8,1,0.53977,10.21%,Call,2012/12/24
"6,070.00",-0.31%,73.8,74.95,76.1,76.14,76.14,unch,7,6,unch,0.51814,10.10%,Call,2012/12/24
"6,075.00",-0.39%,70.8,72,73.2,80.6,80.6,unch,1,5,unch,0.50713,10.04%,Call,2012/12/24
"6,080.00",-0.48%,67.9,69.1,70.3,0,unch,unch,0,0,unch,0.49598,9.97%,Call,N/A
"6,090.00",-0.64%,62.4,63.55,64.7,69.98,69.98,unch,1,1,unch,0.47334,9.85%,Call,2012/12/24
"6,100.00",-0.81%,57.4,57.85,58.3,62,-16.12,-20.63%,27,6,4,0.44994,9.68%,Call,2012/12/24
"6,110.00",-0.97%,52.1,53.2,54.3,56.9,-15.4,-21.30%,6,6,5,0.42694,9.63%,Call,2012/12/24
"6,120.00",-1.14%,47.4,48.5,49.6,52.09,52.09,unch,1,2,unch,0.40351,9.53%,Call,2012/12/24
"6,125.00",-1.22%,45.1,46.2,47.3,48.8,48.8,unch,1,12,unch,0.39168,9.48%,Call,2012/12/24
"6,130.00",-1.30%,43,44.05,45.1,47.35,47.35,unch,2,0,unch,0.38,9.44%,Call,2012/12/24
"6,140.00",-1.47%,39.2,39.6,40,43.05,43.05,unch,17,0,unch,0.35593,9.30%,Call,2012/12/24
"6,150.00",-1.63%,35.2,36.25,37.3,43.2,43.2,unch,2,15,unch,0.33412,9.30%,Call,2012/12/24
"6,160.00",-1.80%,31.8,32.2,32.6,32.96,32.96,unch,37,0,unch,0.31003,9.16%,Call,2012/12/24
"6,170.00",-1.96%,28.5,29,29.5,31.82,31.82,unch,11,0,unch,0.28813,9.11%,Call,2012/12/24
"6,175.00",-2.05%,27,27.5,28,28.9,-5,-14.75%,4,12,10,0.27745,9.08%,Call,2012/12/24
"6,200.00",-2.46%,20.4,20.8,21.2,25.1,2.54,11.26%,1,66,47,0.22652,8.97%,Call,12/13/24
"6,225.00",-2.87%,15,15.8,16.6,17.3,-8.9,-33.97%,18,56,55,0.18303,8.95%,Call,2012/12/24
"6,250.00",-3.28%,10.9,11.35,11.8,13.7,1.9,16.10%,9,28,7,0.14515,8.93%,Call,12/13/24
"6,300.00",-4.11%,5.4,6,6.6,6.4,-4.07,-38.87%,86,270,6,0.0875,8.95%,Call,2012/12/24
"6,350.00",-4.94%,2.5,2.95,3.4,3.25,3.25,unch,2,0,unch,0.04909,8.95%,Call,2012/12/24
"6,400.00",-5.76%,1.1,1.43,1.75,1.82,-1.18,-39.33%,1,40,3,0.02413,8.84%,Call,2012/12/24
"6,500.00",-7.42%,0.25,0.5,0.75,0.55,-0.5,-47.62%,1,7,unch,0.0095,9.66%,Call,2012/12/24
"6,600.00",-9.07%,0.1,0.3,0.5,0.71,unch,unch,0,1,unch,0.00496,10.77%,Call,2012/6/24
"6,700.00",-10.72%,0,0.2,0.4,0.31,unch,unch,0,3,2,0.0031,11.99%,Call,2012/11/24
"6,800.00",-12.37%,0,0.18,0.35,0.17,0.17,unch,10,0,unch,0.00241,13.40%,Call,2012/12/24
"7,000.00",-15.68%,0,0.15,0.3,0,unch,unch,0,0,unch,0.0018,16.29%,Call,N/A
"7,200.00",-18.98%,0,0.15,0.3,0,unch,unch,0,0,unch,0.00155,19.19%,Call,N/A
"7,400.00",-22.29%,0,0.13,0.25,0,unch,unch,0,0,unch,0.00117,21.64%,Call,N/A
"7,600.00",-25.59%,0,0.13,0.25,0,unch,unch,0,0,unch,0.00105,24.29%,Call,N/A
"7,800.00",-28.90%,0,0.13,0.25,0,unch,unch,0,0,unch,0.00096,26.84%,Call,N/A
"2,600.00",-57.03%,0,0.13,0.25,0,unch,unch,0,0,unch,-0.0003,86.61%,Put,N/A
"2,800.00",-53.73%,0,0.15,0.3,0,unch,unch,0,0,unch,-0.00038,80.45%,Put,N/A
"3,000.00",-50.42%,0.05,0.2,0.35,0,unch,unch,0,0,unch,-0.00053,75.27%,Put,N/A
"3,200.00",-47.12%,0.05,0.23,0.4,0,unch,unch,0,0,unch,-0.00064,69.39%,Put,N/A
"3,400.00",-43.81%,0.15,0.33,0.5,0.37,unch,unch,0,94,7,-0.00096,65.15%,Put,2012/11/24
"3,600.00",-40.51%,0.3,0.48,0.65,0.53,unch,unch,0,10,7,-0.00145,61.15%,Put,2012/11/24
"3,800.00",-37.20%,0.45,0.65,0.85,0.75,unch,unch,0,20,unch,-0.00207,56.92%,Put,2012/9/24
"4,000.00",-33.90%,0.7,0.9,1.1,0.95,unch,unch,5,22,11,-0.00314,53.15%,Put,2012/12/24
"4,200.00",-30.59%,0.95,1.17,1.4,1.25,0.15,13.64%,713,60,10,-0.00438,48.87%,Put,2012/12/24
"4,400.00",-27.29%,1.35,1.58,1.8,1.5,-0.05,-3.23%,15,47,4,-0.00569,44.16%,Put,2012/12/24
"4,600.00",-23.98%,1.8,2.05,2.3,2.1,unch,unch,0,15,7,-0.00826,40.15%,Put,2012/11/24
"4,700.00",-22.33%,2.1,2.35,2.6,2.43,-0.07,-2.80%,2,154,21,-0.01009,38.21%,Put,2012/12/24
"4,800.00",-20.68%,2.45,2.7,2.95,2.7,2.7,unch,1,64,unch,-0.01175,35.93%,Put,2012/12/24
"4,900.00",-19.02%,2.8,3.1,3.4,3.03,3.03,unch,7,0,unch,-0.01382,33.70%,Put,2012/12/24
"5,000.00",-17.37%,3.2,3.5,3.8,3.1,-0.28,-8.28%,60,58,1,-0.01626,31.42%,Put,12/13/24
"5,100.00",-15.72%,3.6,3.9,4.2,3.9,-0.2,-4.88%,20,1,1,-0.01971,29.27%,Put,2012/12/24
"5,200.00",-14.07%,4.1,4.45,4.8,5.4,unch,unch,0,6,unch,-0.02381,27.03%,Put,2012/10/24
"5,300.00",-12.41%,4.8,5.15,5.5,5.2,5.2,unch,17,3,unch,-0.02947,24.85%,Put,2012/12/24
"5,400.00",-10.76%,5.6,6,6.4,6,0.3,5.26%,3,7,2,-0.03643,22.56%,Put,2012/12/24
"5,450.00",-9.94%,6.2,6.65,7.1,7.85,unch,unch,0,11,unch,-0.04155,21.51%,Put,2012/10/24
"5,500.00",-9.11%,6.9,7.35,7.8,7.16,0.23,3.32%,3,14,2,-0.04658,20.32%,Put,2012/12/24
"5,550.00",-8.28%,7.8,8.3,8.8,7.25,-0.85,-10.49%,51,1,1,-0.05509,19.41%,Put,2012/12/24
"5,600.00",-7.46%,8.9,9.4,9.9,9.3,0.18,1.97%,1,5,1,-0.06385,18.32%,Put,2012/12/24
"5,650.00",-6.63%,10.3,10.85,11.4,10.8,0.48,4.65%,5,35,1,-0.07599,17.35%,Put,2012/12/24
"5,675.00",-6.22%,11.2,11.75,12.3,10.77,10.77,unch,1,0,unch,-0.08351,16.88%,Put,2012/12/24
"5,700.00",-5.80%,12.4,12.7,13,10.59,-2.01,-15.95%,24,94,unch,-0.09105,16.35%,Put,12/13/24
"5,725.00",-5.39%,13.5,13.8,14.1,13.44,-3.06,-18.55%,45,34,32,-0.10062,15.89%,Put,2012/12/24
"5,750.00",-4.98%,14.8,15.1,15.4,14.51,14.51,unch,23,14,unch,-0.1112,15.42%,Put,2012/12/24
"5,775.00",-4.57%,16.3,16.6,16.9,16.3,2.2,15.60%,75,112,110,-0.12206,14.87%,Put,2012/12/24
"5,800.00",-4.15%,17.6,18.25,18.9,17.17,unch,unch,0,61,1,-0.13694,14.47%,Put,2012/11/24
"5,825.00",-3.74%,19.5,20.2,20.9,20,20,unch,1,34,unch,-0.15197,13.95%,Put,2012/12/24
"5,850.00",-3.33%,22.1,22.45,22.8,21.18,1.88,9.74%,1,57,8,-0.17083,13.54%,Put,2012/12/24
"5,860.00",-3.16%,22.6,23.4,24.2,20.7,20.7,unch,1,0,unch,-0.17871,13.34%,Put,2012/12/24
"5,870.00",-3.00%,23.6,24.4,25.2,20.53,-1.29,-5.91%,1,2,2,-0.18695,13.15%,Put,2012/12/24
"5,875.00",-2.91%,24.7,25.05,25.4,22.25,1.18,5.60%,16,121,8,-0.19168,13.08%,Put,2012/12/24
"5,880.00",-2.83%,24.7,25.5,26.3,30.12,unch,unch,0,23,unch,-0.19584,12.96%,Put,2012/10/24
"5,890.00",-2.66%,26.4,26.75,27.1,23.74,23.74,unch,4,0,unch,-0.20557,12.79%,Put,2012/12/24
"5,900.00",-2.50%,27.7,28.05,28.4,26.99,2.28,9.23%,5,132,2,-0.21576,12.62%,Put,2012/12/24
"5,910.00",-2.33%,29,29.3,29.6,25.78,-1.39,-5.12%,40,21,1,-0.22598,12.41%,Put,2012/12/24
"5,920.00",-2.17%,30.4,30.75,31.1,30.4,30.4,unch,16,6,unch,-0.23606,12.17%,Put,2012/12/24
"5,925.00",-2.09%,31.1,31.45,31.8,30.66,3.08,11.17%,31,30,1,-0.24288,12.14%,Put,2012/12/24
"5,930.00",-2.00%,31.2,32.1,33,26.49,unch,unch,24,19,19,-0.24849,12.03%,Put,12/13/24
"5,940.00",-1.84%,32.9,33.75,34.6,33,33,unch,1,1,unch,-0.25883,11.72%,Put,2012/12/24
"5,950.00",-1.67%,34.4,35.35,36.3,30.3,0.97,3.31%,1,29,1,-0.27401,11.65%,Put,2012/12/24
"5,960.00",-1.51%,36.9,37.2,37.5,31.8,31.8,unch,97,0,unch,-0.28805,11.47%,Put,2012/12/24
"5,970.00",-1.34%,38.2,39.2,40.2,42.98,unch,unch,0,6,unch,-0.30309,11.30%,Put,2012/10/24
"5,975.00",-1.26%,39.2,40.25,41.3,37.72,37.72,unch,1,2,unch,-0.31077,11.22%,Put,2012/12/24
"5,980.00",-1.18%,40.2,41.25,42.3,36.73,unch,unch,0,1,unch,-0.31882,11.12%,Put,2012/9/24
"5,990.00",-1.01%,42.4,43.45,44.5,37.11,37.11,unch,1,5,unch,-0.33539,10.93%,Put,2012/12/24
"6,000.00",-0.85%,45.2,45.6,46,42.85,42.85,unch,15,2,unch,-0.35246,10.72%,Put,2012/12/24
"6,010.00",-0.68%,47.2,48.3,49.4,44.52,unch,unch,0,1,unch,-0.37162,10.57%,Put,2012/5/24
"6,020.00",-0.52%,49.8,50.9,52,41.9,unch,unch,0,14,unch,-0.39089,10.37%,Put,2012/11/24
"6,025.00",-0.43%,51.2,52.35,53.5,46.3,46.3,unch,2,2,unch,-0.40084,10.29%,Put,2012/12/24
"6,030.00",-0.35%,52.7,53.8,54.9,49.67,49.67,unch,1,5,unch,-0.41104,10.20%,Put,2012/12/24
"6,040.00",-0.19%,55.8,56.9,58,56.5,56.5,unch,1,1,unch,-0.43317,9.96%,Put,2012/12/24
"6,050.00",-0.02%,59.1,60.2,61.3,59.75,59.75,unch,5,6,unch,-0.45599,9.78%,Put,2012/12/24
"6,060.00",0.14%,63,63.5,64,62.7,62.7,unch,28,17,unch,-0.47998,9.63%,Put,2012/12/24
"6,070.00",0.31%,66.4,67.55,68.7,64.65,64.65,unch,5,22,unch,-0.50551,9.49%,Put,2012/12/24
"6,075.00",0.39%,68.7,69.25,69.8,61.23,61.23,unch,48,3,unch,-0.51915,9.36%,Put,2012/12/24
"6,080.00",0.48%,70.8,71.35,71.9,72.19,unch,unch,0,105,unch,-0.53308,9.28%,Put,2012/10/24
"6,090.00",0.64%,68.4,75.6,82.8,62.05,-1.62,-2.54%,1,35,24,-0.56018,9.10%,Put,2012/12/24
"6,100.00",0.81%,72.8,80.15,87.5,67.72,unch,unch,0,6,2,-0.58984,8.91%,Put,2012/11/24
"6,110.00",0.97%,77.5,85.05,92.6,82.94,unch,unch,0,42,unch,-0.62233,8.72%,Put,2012/9/24
"6,120.00",1.14%,82.4,90.2,98,79.35,unch,unch,0,25,1,-0.65193,8.52%,Put,2012/11/24
"6,125.00",1.22%,85,92.9,100.8,81.75,unch,unch,0,25,1,-0.66745,8.42%,Put,2012/11/24
"6,130.00",1.30%,87.8,95.65,103.5,0,unch,unch,0,0,unch,-0.69434,8.32%,Put,N/A
"6,140.00",1.47%,93.5,101.6,109.7,99.91,unch,unch,0,2,unch,-0.72649,8.10%,Put,2012/10/24
"6,150.00",1.63%,99.4,107.6,115.8,94.2,94.2,unch,1,2,unch,-0.76538,7.83%,Put,2012/12/24
"6,160.00",1.80%,101.4,114.1,126.8,0,unch,unch,0,0,unch,-0.81364,7.52%,Put,N/A
"6,170.00",1.96%,107.5,120.9,134.3,0,unch,unch,0,0,unch,-0.87494,7.07%,Put,N/A
"6,175.00",2.05%,115.4,122.3,129.2,112.4,112.4,unch,1,5,unch,-0.82412,8.16%,Put,2012/12/24
"6,200.00",2.46%,133.4,140.45,147.5,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,225.00",2.87%,152.5,159.8,167.1,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,250.00",3.28%,173.1,180.45,187.8,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,300.00",4.11%,217,225.95,234.9,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,350.00",4.94%,263.6,273.15,282.7,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,400.00",5.76%,311.5,321.3,331.1,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,500.00",7.42%,410.1,419.9,429.7,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,600.00",9.07%,509.5,519.65,529.8,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,700.00",10.72%,609.1,619.1,629.1,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"6,800.00",12.37%,708.6,718.7,728.8,0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"7,000.00",15.68%,907.6,917.55,927.5,896.16,896.16,unch,2,0,unch,0,0.00%,Put,2012/12/24
"7,200.00",18.98%,"1,106.60","1,116.70","1,126.80",0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"7,400.00",22.29%,"1,305.60","1,315.80","1,326.00",0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"7,600.00",25.59%,"1,504.60","1,515.45","1,526.30",0,unch,unch,0,0,unch,0,0.00%,Put,N/A
"7,800.00",28.90%,"1,703.60","1,714.55","1,725.50",0,unch,unch,0,0,unch,0,0.00%,Put,N/A
Downloaded from Barchart.com as of 12-13-2024 07:57am CST,,,,,,,,,,,,,,
